Stock,Company Name,Ticker,Market Cap
APPLE INC. (XNAS:AAPL),APPLE INC.,AAPL, $2,366,739,352,500 
MICROSOFT CORPORATION (XNAS:MSFT),MICROSOFT CORPORATION,MSFT, $1,805,704,811,040 
ALPHABET INC. (XNAS:GOOG),ALPHABET INC.,GOOG, $1,307,460,000,000 
ALPHABET INC. (XNAS:GOOGL),ALPHABET INC.,GOOGL, $1,307,460,000,000 
AMAZON.COM, INC. (XNAS:AMZN),AMAZON.COM, INC.,AMZN, $1,174,116,000,000 
TESLA, INC. (XNAS:TSLA),TESLA, INC.,TSLA, $671,941,306,800 
BERKSHIRE HATHAWAY INC., (XNYS:BRK.B),BERKSHIRE HATHAWAY INC.,,BRK.B, $604,235,700,000 
UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),UNITEDHEALTH GROUP INCORPORATED,UNH, $499,241,808,471 
JOHNSON & JOHNSON (XNYS:JNJ),JOHNSON & JOHNSON,JNJ, $443,568,957,800 
Meta Platforms, Inc. (XNAS:META),Meta Platforms, Inc.,META, $349,408,245,490 
EXXON MOBIL CORPORATION (XNYS:XOM),EXXON MOBIL CORPORATION,XOM, $441,185,946,960 
WALMART INC. (XNYS:WMT),WALMART INC.,WMT, $371,307,758,400 
ELI LILLY AND COMPANY (XNYS:LLY),ELI LILLY AND COMPANY,LLY, $323,791,066,596 
JPMORGAN CHASE & CO. (XNYS:JPM),JPMORGAN CHASE & CO.,JPM, $358,995,743,730 
NVIDIA CORPORATION (XNAS:NVDA),NVIDIA CORPORATION,NVDA, $310,403,400,000 
THE PROCTER & GAMBLE COMPANY (XNYS:PG),THE PROCTER & GAMBLE COMPANY,PG, $304,696,026,000 
VISA INC. (XNYS:V),VISA INC.,V, $393,843,357,470 
THE HOME DEPOT, INC. (XNYS:HD),THE HOME DEPOT, INC.,HD, $282,067,224,780 
CHEVRON CORPORATION (XNYS:CVX),CHEVRON CORPORATION,CVX, $339,008,167,650 
MASTERCARD INCORPORATED. (XNYS:MA),MASTERCARD INCORPORATED.,MA, $292,203,141,357 
PFIZER INC. (XNYS:PFE),PFIZER INC.,PFE, $252,275,222,400 
BANK OF AMERICA CORPORATION (XNYS:BAC),BANK OF AMERICA CORPORATION,BAC, $280,454,527,500 
THE COCA-COLA COMPANY (XNYS:KO),THE COCA-COLA COMPANY,KO, $242,006,238,840 
ABBVIE INC. (XNYS:ABBV),ABBVIE INC.,ABBV, $252,714,000,000 
PEPSICO, INC. (XNAS:PEP),PEPSICO, INC.,PEP, $238,426,319,540 
MERCK & CO., INC. (XNYS:MRK),MERCK & CO., INC.,MRK, $242,358,897,600 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COSTCO WHOLESALE CORPORATION,COST, $211,644,476,356 
THERMO FISHER SCIENTIFIC INC. (XNYS:TMO),THERMO FISHER SCIENTIFIC INC.,TMO, $194,617,267,860 
DANAHER CORPORATION (XNYS:DHR),DANAHER CORPORATION,DHR, $177,925,870,386 
Broadcom Inc. (XNAS:AVGO),Broadcom Inc.,AVGO, $190,899,186,723 
THE WALT DISNEY COMPANY (XNYS:DIS),THE WALT DISNEY COMPANY,DIS, $186,024,838,320 
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),ACCENTURE PUBLIC LIMITED COMPANY,ACN, $179,205,580,267 
MCDONALD'S CORPORATION (XNYS:MCD),MCDONALD'S CORPORATION,MCD, $187,276,838,715 
ABBOTT LABORATORIES (XNYS:ABT),ABBOTT LABORATORIES,ABT, $166,470,973,200 
T-MOBILE US, INC. (XNAS:TMUS),T-MOBILE US, INC.,TMUS, $171,126,434,860 
ORACLE CORPORATION (XNYS:ORCL),ORACLE CORPORATION,ORCL, $196,011,268,200 
CISCO SYSTEMS, INC. (XNAS:CSCO),CISCO SYSTEMS, INC.,CSCO, $175,735,473,200 
VERIZON COMMUNICATIONS INC. (XNYS:VZ),VERIZON COMMUNICATIONS INC.,VZ, $155,389,400,000 
NEXTERA ENERGY, INC. (XNYS:NEE),NEXTERA ENERGY, INC.,NEE, $140,776,415,350 
WELLS FARGO & COMPANY (XNYS:WFC),WELLS FARGO & COMPANY,WFC, $170,042,431,500 
BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),BRISTOL-MYERS SQUIBB COMPANY,BMY, $154,186,763,550 
SALESFORCE, INC. (XNYS:CRM),SALESFORCE, INC.,CRM, $160,170,000,000 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TEXAS INSTRUMENTS INCORPORATED,TXN, $145,937,329,956 
MORGAN STANLEY (XNYS:MS),MORGAN STANLEY,MS, $136,006,955,720 
LINDE PUBLIC LIMITED COMPANY (XNYS:LIN),LINDE PUBLIC LIMITED COMPANY,LIN, $143,688,769,792 
CONOCOPHILLIPS (XNYS:COP),CONOCOPHILLIPS,COP, $158,479,878,170 
THE CHARLES SCHWAB CORPORATION (XNYS:SCHW),THE CHARLES SCHWAB CORPORATION,SCHW, $133,403,228,159 
COMCAST CORPORATION (XNAS:CMCSA),COMCAST CORPORATION,CMCSA, $134,515,494,240 
Philip Morris International Inc. (XNYS:PM),Philip Morris International Inc.,PM, $134,104,601,130 
ADOBE INC. (XNAS:ADBE),ADOBE INC.,ADBE, $142,431,413,000 
QUALCOMM INCORPORATED (XNAS:QCOM),QUALCOMM INCORPORATED,QCOM, $129,976,020,000 
CVS HEALTH CORPORATION (XNYS:CVS),CVS HEALTH CORPORATION,CVS, $121,725,504,880 
