Symbol,Name,Exchange,Enterprise Value,Market Cap,Cash,Total Liabilities,Net Profit Margin,Net Income,Revenue Growth,Return on EV,Share Price
MMM,3M Company,NYSE,90.99,63.19,3.89,31.69,16.88,5.78,-3.18,0.06352346411693593,114.19
AOS,A.O. Smith Corp,NYSE,-619.37,10.39,631.4,1.64,13.76,487.1,22.23,-0.7864442901658136,67.48
ABT,Abbott Laboratories,NYSE,NaN,187.05,9.91,NaN,15.88,6.93,1.34,NaN,107.26
ABBV,AbbVie Inc.,NYSE,388.41,267.15,9.83,131.09,20.54,11.54,22.69,0.029710872531603198,152.59
ACN,Accenture plc,NYSE,206.02,189.39,7.89,24.52,11.17,6.88,21.89,0.03339481603727793,284.77
ATVI,Activision Blizzard,NASDAQ,57.669999999999995,60.81,10.6,7.46,30.66,2.7,8.87,0.046818102999826604,76.78
AYI,Acuity Brands Inc,NYSE,-215.42,6.21,223.2,1.57,9.59,384,15.75,-1.7825642930090058,192.68
ADBE,Adobe Systems Inc,NASDAQ,179.12000000000003,172.11,6.1,13.11,27.01,4.76,11.54,0.026574363555158548,377.9
AAP,Advance Auto Parts,NYSE,-583.4,8.96,601.43,9.07,5.6,616.11,8.82,-1.056067877956805,150.76
AMD,Advanced Micro Devices Inc,NASDAQ,138.64999999999998,137.34,3.61,4.92,19.24,3.16,68.33,0.022791200865488644,85.95
AES,AES Corp,NYSE,44.99,17.83,1.18,28.34,-3.67,-409,15.33,-9.09090909090909,26.29
AMG,Affiliated Managers Group Inc,NYSE,-976.31,6.2,987,4.49,23.45,565.7,18.98,-0.5794266165459742,165.74
AFL,AFLAC Inc,NYSE,160.13,42.62,6.78,124.29,19.56,4.33,-0.19,0.0270405295697246,69.21
A,Agilent Technologies Inc,NYSE,49.08,44.9,1.05,5.23,18.31,1.25,8.37,0.025468622656886715,153.04
APD,Air Products & Chemicals Inc,NYSE,73.32,63.17,3.34,13.49,17.77,2.26,23.01,0.03082378614293508,281.49
AKAM,Akamai Technologies Inc,NASDAQ,14.899999999999999,12.37,1.08,3.61,18.83,651.64,8.23,43.73422818791946,87.79
ALK,Alaska Air Group Inc,NYSE,14.460000000000003,6.41,2.42,10.47,0.6,58,56.19,4.011065006915628,50.58
ALB,Albemarle Corp,NYSE,-402.14,31.96,439.27,5.17,3.72,123.67,6.36,-0.3075297160192968,270.7
ALGN,Align Technology,NASDAQ,27.58,26.43,1.17,2.32,19.53,772.02,59.9,27.992023205221177,331.52
ALLE,Allegion,NYSE,-384.92999999999995,10.68,397.9,2.29,16.84,483,5.42,-1.2547735951991272,119.86
LNT,Alliant Energy Corp,NASDAQ,-13.030000000000001,13.41,39,12.56,17.96,659,7.41,-50.57559478127398,53.29
ALL,Allstate Corp,NYSE,105.61,36.07,4.77,74.31,3.16,1.6,20.71,0.015150080484802576,135.04
GOOGL,Alphabet Inc Class A,NASDAQ,-30.780000000000015,1.24,139.65,107.63,29.51,76.03,41.15,-2.4701104613385305,94.68
GOOG,Alphabet Inc Class C,NASDAQ,-30.780000000000015,1.24,139.65,107.63,29.51,76.03,41.15,-2.4701104613385305,94.95
MO,Altria Group Inc,NYSE,121.67,85.08,4.54,41.13,11.72,2.48,1.3,0.02038300320539163,47.45
AMZN,Amazon.com Inc,NASDAQ,187.29000000000002,1.04,96.05,282.3,7.1,33.36,21.7,0.17811949383309303,99.7
AEE,Ameren Corp,NYSE,40.1,22.19,8,25.91,16.18,990,10.45,24.688279301745634,85.2
AAL,American Airlines Group,NASDAQ,72.47999999999999,10.93,8.97,70.52,0.26,127,63.88,1.752207505518764,16.79
AEP,American Electric Power,NASDAQ,-512.0899999999999,46.72,623.8,64.99,14.82,2.49,12.56,-0.004862426526587124,90.48
AXP,American Express Co,NYSE,303.45,134.45,34,203,NaN,7.51,15.71,0.024748723018619214,181.02
AIG,American International Group Inc.,NYSE,557.7800000000001,45.94,15.36,527.2,18.04,9.39,20.1,0.01683459428448492,61.52
AMT,American Tower Corp A,NYSE,159.72,100.85,1.95,60.82,27.44,2.57,16.36,0.01609065865264212,215.15
AWK,American Water Works Company Inc,NYSE,-87.08,27.14,133,18.78,32.14,1.26,4.05,-0.014469453376205789,149.31
AMP,Ameriprise Financial,NYSE,198.8,36.89,8.38,170.29,20.53,2.76,12.42,0.013883299798792754,352.74
ABC,AmerisourceBergen Corp,NYSE,85.22,32.12,3.39,56.49,0.71,1.7,11.5,0.01994836892748181,157.36
AME,AMETEK Inc,NYSE,-308.15999999999997,33.58,346.77,5.03,17.85,990.05,22.17,-3.212779075804777,144.37
AMGN,Amgen Inc,NASDAQ,174.62,128.19,8.04,54.47,22.68,5.89,2.18,0.033730385980987286,241.03
APH,Amphenol Corp,NYSE,55.24,48.44,1.43,8.23,15.07,1.9,16.06,0.03439536567704562,80.73
ADI,Analog Devices Inc.,NASDAQ,111.80000000000001,99.43,1.47,13.84,22.88,2.75,64.16,0.024597495527728084,182.54
ANSS,ANSYS,NASDAQ,-641.98,24.21,668.03,1.84,23.84,454.63,13.41,-0.708168478768809,274.28
AON,Aon plc,NYSE,-580.52,64.72,676,30.76,10.29,1.26,10.18,-0.0021704678564046028,312.44
APA,Apache Corporation,NASDAQ,-275.41,13.28,302,13.31,12.12,973,82.68,-3.532914563741331,42.47
AIV,Apartment Investment & Management,NYSE,-256.03999999999996,1.15,259.03,1.84,-3.46,-5.91,12.18,0.0230823308857991,7.67
AAPL,Apple Inc.,NASDAQ,256.23999999999995,2.46,48.3,302.08,25.31,99.8,7.79,0.38947861379956294,153.2
AMAT,Applied Materials Inc,NASDAQ,112.66,100.71,2.58,14.53,25.31,6.53,11.8,0.05796200958636606,118.44
APTV,Aptiv Plc,NYSE,39.66,33.35,3.14,9.45,3.78,590,19.53,14.87644982349975,121.1
ADM,Archer-Daniels-Midland Co,NYSE,56.27,44.9,1.04,12.41,4.26,4.34,19.47,0.07712813221965523,81.78
ARNC,Arconic Inc,NYSE,-327.53,2.45,335,5.02,-5.29,-397,32.23,1.212102708148872,23.63
AJG,Arthur J. Gallagher & Co.,NYSE,-272.21000000000004,40.37,342.3,29.72,NaN,1.11,3.72,-0.004077734102347452,188.25
AIZ,Assurant Inc,NYSE,33.1,6.97,2.29,28.42,13.47,1.37,6.24,0.04138972809667674,130.25
T,AT&T Inc,NYSE,429.91,137.21,3.7,296.4,-7.06,-8.52,-28.5,-0.019818101463096927,19.16
ADSK,Autodesk Inc,NASDAQ,55.47,49.47,1.76,7.76,11.33,497,15.72,8.959798089057148,228.04
ADP,Automatic Data Processing,NASDAQ,152.81,94.41,1.44,59.84,17.87,2.95,9.95,0.019305019305019305,224.59
AZO,AutoZone Inc,NYSE,-246.91999999999996,48.42,314.15,18.81,14.95,2.43,11.09,-0.009841244127652683,2546.27
AVB,AvalonBay Communities Inc.,NYSE,-389.15,25.34,423.46,8.97,43.47,1,0.33,-0.002569703199280483,180.08
AVY,Avery Dennison Corp,NYSE,-175.01999999999998,15.03,196.1,6.05,8.8,740.1,20.61,-4.228659581762085,184.24
BAC,Bank of America Corp,NYSE,-560.9200000000001,285.28,848.98,2.78,29.79,27.53,-1.39,-0.049080082721243666,35.62
BAX,Baxter International Inc.,NYSE,41.669999999999995,20.22,2.95,24.4,10.04,1.28,9.52,0.030717542596592276,39.91
BDX,Becton Dickinson,NYSE,95.65999999999998,69.02,1.01,27.65,9.43,1.78,-1.36,0.018607568471670503,243.41
BRK.B,Berkshire Hathaway,NYSE,978.49,681.36,146.72,443.85,32.52,89.8,12.46,0.09177406003127267,310.79
BBY,Best Buy Co. Inc.,NYSE,31.219999999999995,19.68,2.94,14.48,4.74,2.45,9.52,0.07847533632286997,88.31
BIIB,Biogen Inc.,NASDAQ,49.290000000000006,40.17,3.8,12.92,14.17,1.56,-18.32,0.03164942178940961,289.08
BLK,BlackRock,NYSE,NaN,108.45,6.52,NaN,28.97,5.18,-7.75,NaN,729.15
HRB,Block H&R,NYSE,-875.91,6.05,885.02,3.06,15.99,553.67,23.84,-0.6321083216312178,39.65
BA,Boeing Company,NYSE,265.80999999999995,130.08,17.22,152.95,-7.41,-4.94,6.94,-0.018584703359542536,218.45
BWA,BorgWarner,NYSE,19.03,11.56,1.84,9.31,3.62,537,45.97,28.218602207041513,49.69
BXP,Boston Properties,NYSE,-426.89,11.47,452.69,14.33,17.63,505.2,4.68,-1.1834430415329475,72.34
BSX,Boston Scientific,NYSE,81.41,67.73,1.93,15.61,8.76,1.04,19.92,0.012774843385333499,47.28
BHF,Brighthouse Financial Inc,NASDAQ,240.31,4.09,7.41,243.63,-1.51,-108,-16.02,-0.4494194998127419,59.74
BMY,Bristol-Myers Squibb,NYSE,208.05,151.96,17.22,73.31,15.08,6.99,9.09,0.033597692862292715,72.25
AVGO,Broadcom,NASDAQ,292.07,253.95,12.42,50.54,34.62,11.5,20.96,0.03937412264183244,602.31
BF.B,Brown-Forman Corp.,NYSE,-832.92,31.44,868,3.64,21.31,838,13.64,-1.0060990251164579,65.31
CHRW,C. H. Robinson Worldwide,NASDAQ,-240.02000000000004,12.38,257.41,5.01,3.65,844.25,42.54,-3.5174152153987164,104.97
CDNS,Cadence Design Systems,NASDAQ,56.03999999999999,55.48,1.09,1.65,23.29,695.96,11.38,12.41898643825839,199.09
CPB,Campbell Soup,NYSE,-85.18,15.26,109,8.56,8.84,757,1.01,-8.887062690772481,51.02
COF,Capital One Financial,NYSE,415.52,43.71,30.86,402.67,25.91,7.36,-12.28,0.01771274547554871,115.35
